Sample,t,h,Fe,S-2,NO3-,NO2-,SO4-2,pH,EC
51,1.6979166666666667,40.75,,,0,,0,,
52,1.71875,41.25,,,,18.448286980955668,,,
53,1.7395833333333333,41.75,,,1.138972887626623,,2.0002415157193423,,
54,1.7760416666666667,42.625,0.0038493070052079427,,,,,,
55,1.8125,43.5,,,,20.75227425236327,,7.73,480
56,1.8489583333333333,44.375,,0.017815904204765066,,,,,
57,1.8854166666666667,45.25,,,,26.967681775230297,,,
58,1.90625,45.75,,,1.1167310970584583,,1.995294607536956,,
59,1.9270833333333333,46.25,,,,24.34220790781232,,,
60,1.9479166666666667,46.75,,,1.087214075016652,,1.9067447428690403,,
61,1.984375,47.625,0.007766145712261664,,,,,,
62,2.2743055555555554,54.583333333333336,,,,27.449911669245836,,,
63,2.310763888888889,55.458333333333336,0.004794750831048496,,,,,,
64,2.3628472222222223,56.708333333333336,,0.02769402930839718,,,,,
65,2.392361111111111,57.416666666666664,,,1.095563415149448,,2.0993191755153027,7.19,911
66,2.5520833333333335,61.25,,,,35,,,
67,2.5885416666666665,62.125,0.009521969960251241,,,,,,
68,2.640625,63.375,,0.07496791373292232,,,,,
69,2.6770833333333335,64.25,,,1.176779577097939,,1.958257339163023,7.67,785
70,2.8645833333333335,68.75,,,,46.31045863518715,,,
71,2.9010416666666665,69.625,0.006145384867963567,,,,,,
72,2.953125,70.875,,0.012876841652949009,,,,,
73,2.9895833333333335,71.75,,,1.0801243127559272,,1.7927899229648134,7.33,683
74,3.2604166666666665,78.25,,,,50.972014277337415,,,
75,3.296875,79.125,0.001553229142452329,,,,,,
76,3.359375,80.625,,0.02698844894385203,,,,,
77,3.40625,81.75,,,1.1310864141382375,,1.9886904018321883,7.72,789
78,3.5520833333333335,85.25,,,,60.36509547066784,,,
79,3.5885416666666665,86.125,0.00047272191292026695,,,,,,
80,3.640625,87.375,,0.023460547121126277,,,,,
81,3.6770833333333335,88.25,,,1.165211136539209,,2.0758640433062667,7.67,732
82,3.8645833333333335,92.75,,,,40.54008871669545,,,
83,3.9010416666666665,93.625,0,,,,,,
84,3.953125,94.875,,0.02769402930839718,,,,,
85,3.9895833333333335,95.75,,,1.0889639367211301,,2.064328544659588,7.08,882
86,4.302083333333333,103.25,,,,53.39955255710997,,,
87,4.338541666666667,104.125,0,,,,,,
88,4.380208333333333,105.125,,0.022049386392035974,,,,,
89,4.40625,105.75,,,1.1233708948808885,,1.9506735373724755,7,791
90,4.552083333333333,109.25,,,,42.790494888767995,,,
91,4.588541666666667,110.125,0,,,,,,
92,4.640625,111.375,,0.006526618372042648,,,,,
93,4.677083333333333,112.25,,,1.1268851332717253,,1.8742577555694357,7.84,876
94,4.864583333333333,116.75,,,,49.434551206315504,,,
95,4.901041666666667,117.625,0,,,,,,
96,4.953125,118.875,,0.0008819754556814389,,,,,
97,4.989583333333333,119.75,,,1.0793550187162626,,1.8717593170934832,7.84,783
98,5.260416666666667,126.25,,,,61.329555258698946,,,
99,5.296875,127.125,0,,,,,,
100,5.359375,128.625,,0,,,,,
101,5.40625,129.75,,,1.0989760486671216,,1.8731313762231938,7.3,834
102,5.552083333333333,133.25,,,,45.79103645153138,,,
103,5.588541666666667,134.125,0,,,,,,
104,5.640625,135.375,,0,,,,,
105,5.677083333333333,136.25,,,1.1125927144467613,,1.8731095148865293,7.56,584
