column,end_time,velocity
4,2.183568e6,2.7240165723051627e-6
4,2.226768e6,2.634777700157573e-6
4,2.316468e6,2.774213437888181e-6
2,359763.0,2.4331576522296115e-6
2,381363.0,2.253170647818106e-6
2,402963.0,2.348719304481004e-6
2,424563.0,2.6020343477268267e-6
2,446163.0,2.8375728967097845e-6
2,467763.0,2.8420170202755e-6
2,489363.0,2.8642376381040817e-6
2,532563.0,2.8042419699669134e-6
2,554163.0,2.8420170202755e-6
2,575763.0,2.846461143841217e-6
2,597363.0,2.850905267406933e-6
2,618963.0,2.8086860935326297e-6
2,640563.0,2.822018464229778e-6
2,662163.0,2.8175743406640616e-6
2,705363.0,2.693138880824008e-6
2,726963.0,2.7775772285726166e-6
2,748563.0,2.7686889814411835e-6
2,770163.0,2.79535372283548e-6
2,791763.0,2.7997978464011975e-6
2,813363.0,2.8131302170983452e-6
2,834963.0,2.79535372283548e-6
2,856563.0,2.8286846495783522e-6
2,878163.0,2.810908155315487e-6
2,899763.0,2.8620155763212237e-6
2,942963.0,3.464194319475766e-6
2,964563.0,3.333092674287139e-6
2,986163.0,3.2419881411899574e-6
2,1.007763e6,3.161993917007066e-6
2,1.050963e6,2.5975902241611108e-6
2,1.072563e6,2.5953681623782524e-6
2,1.094163e6,2.559815173852523e-6
2,1.115763e6,2.697583004389725e-6
2,1.137363e6,2.6553638305154203e-6
2,1.158963e6,2.64425352160113e-6
2,1.180563e6,2.6420314598182725e-6
2,1.202163e6,2.6198108419896912e-6
2,1.223763e6,2.697583004389725e-6
2,1.245363e6,2.7198036222183054e-6
2,1.266963e6,2.7242477457840217e-6
2,1.288563e6,2.7242477457840217e-6
2,1.310163e6,2.7131374368697315e-6
2,1.396563e6,2.7131374368697315e-6
2,1.418163e6,2.6064784712925426e-6
2,1.439763e6,2.6886947572582927e-6
2,1.461363e6,2.63314321268684e-6
2,1.482963e6,2.7375801164811703e-6
2,1.504563e6,2.6553638305154203e-6
2,1.526163e6,2.6709182629954273e-6
2,1.569363e6,2.6553638305154203e-6
2,1.590963e6,2.657585892298279e-6
2,1.612563e6,2.6309211509039823e-6
2,1.634163e6,2.6398093980354137e-6
2,1.655763e6,2.5464828031553747e-6
2,1.677363e6,2.6620300158639954e-6
2,1.698963e6,2.6553638305154203e-6
2,1.720563e6,2.7064712515211568e-6
2,1.742163e6,2.7220256840011633e-6
2,1.763763e6,2.7042491897382997e-6
2,1.785363e6,2.6886947572582927e-6
2,1.806963e6,2.7042491897382997e-6
2,1.828563e6,2.5042636292810705e-6
2,1.850163e6,2.702027127955441e-6
2,1.871763e6,2.7198036222183054e-6
2,1.893363e6,2.6064784712925426e-6
2,1.914963e6,2.6886947572582927e-6
2,1.936563e6,2.6175887802068333e-6
2,1.958163e6,2.6664741394297114e-6
2,1.979763e6,2.5131518764125028e-6
2,2.001363e6,2.6664741394297114e-6
2,2.022963e6,2.697583004389725e-6
2,2.044563e6,2.6175887802068333e-6
2,2.066163e6,2.697583004389725e-6
2,2.088063e6,2.613144656641117e-6
2,2.095263e6,2.86645969988694e-6
2,2.102463e6,2.58647991524682e-6
2,2.109663e6,2.6998050661725833e-6
2,2.116863e6,2.6064784712925426e-6
2,2.124063e6,2.719803622218306e-6
2,2.131263e6,2.7531345489611777e-6
2,2.138463e6,2.58647991524682e-6
2,2.145663e6,1.8332009708579266e-6
2,2.152863e6,2.9931172215098515e-6
2,2.160063e6,2.6731403247782857e-6
2,2.182503e6,2.7086933133040156e-6
2,2.204103e6,2.6886947572582927e-6
2,2.225703e6,2.673140324778286e-6
2,2.315403e6,2.649808676058275e-6
3,359815.0,2.4295282942181183e-6
3,381415.0,2.483071617506671e-6
3,403015.0,2.4763787020956022e-6
3,424615.0,2.6213918693354344e-6
3,446215.0,2.9225730628335487e-6
3,467815.0,2.9024943166003413e-6
3,489415.0,2.9292659782446173e-6
3,532615.0,2.958268611692585e-6
3,554215.0,2.9047252884040306e-6
3,575815.0,2.9471137526741353e-6
3,597415.0,2.9783473579257923e-6
3,619015.0,2.8601058523302357e-6
3,640615.0,2.9248040346372385e-6
3,662215.0,2.9314969500483075e-6
3,705415.0,2.8511819651154777e-6
3,727015.0,2.846720021508098e-6
3,748615.0,2.8913394575818926e-6
3,770215.0,2.8333341906859597e-6
3,791815.0,2.880184598563444e-6
3,813415.0,2.9248040346372385e-6
3,835015.0,2.9225730628335487e-6
3,856615.0,2.9292659782446173e-6
3,878215.0,2.8958014011892722e-6
3,899815.0,2.9047252884040306e-6
3,921415.0,2.9314969500483075e-6
3,943015.0,3.524935449829776e-6
3,964615.0,3.4937018445781195e-6
3,986215.0,3.442389493093256e-6
3,1.007815e6,3.3286099311050803e-6
3,1.051015e6,2.9248040346372385e-6
3,1.072615e6,3.014042906784828e-6
3,1.094215e6,2.9203420910298593e-6
3,1.115815e6,2.8757226549560644e-6
3,1.137415e6,2.8154864162564416e-6
3,1.159015e6,2.74409531853837e-6
3,1.180615e6,2.7954076700232337e-6
3,1.202215e6,2.74409531853837e-6
3,1.223815e6,2.726247544108852e-6
3,1.245415e6,2.741864346734681e-6
3,1.267015e6,2.726247544108852e-6
3,1.288615e6,2.7374024031273008e-6
3,1.331815e6,2.710630741483024e-6
3,1.353415e6,2.728478515912542e-6
3,1.375015e6,2.612467982120676e-6
3,1.396615e6,2.672704220820299e-6
3,1.418215e6,2.683859079838748e-6
3,1.439815e6,2.6749351926239878e-6
3,1.461415e6,2.677166164427678e-6
3,1.483015e6,2.6793971362313686e-6
3,1.504615e6,2.6905519952498164e-6
3,1.526215e6,2.681628108035057e-6
3,1.569415e6,2.701706854268265e-6
3,1.591015e6,2.5990821512985367e-6
3,1.612615e6,2.66154936180185e-6
3,1.634215e6,2.66378033360554e-6
3,1.655815e6,2.643701587372332e-6
3,1.677415e6,2.6593183899981608e-6
3,1.699015e6,2.683859079838748e-6
3,1.720615e6,2.7061687978756443e-6
3,1.742215e6,2.728478515912542e-6
3,1.763815e6,2.732940459519921e-6
3,1.785415e6,2.728478515912542e-6
3,1.807015e6,2.6548564463907803e-6
3,1.828615e6,2.7619430929678874e-6
3,1.850215e6,2.710630741483024e-6
3,1.871815e6,2.7217856005014725e-6
3,1.893415e6,2.6548564463907803e-6
3,1.915015e6,2.672704220820299e-6
3,1.936615e6,2.445145096843946e-6
3,1.958215e6,2.681628108035057e-6
3,1.979815e6,2.7150926850904043e-6
3,2.001415e6,2.66154936180185e-6
3,2.023015e6,2.681628108035057e-6
3,2.044615e6,2.634777700157573e-6
3,2.066215e6,2.6459325591760215e-6
3,2.088115e6,2.7173236568940937e-6
3,2.095315e6,2.6236228411391242e-6
3,2.102515e6,2.7106307414830247e-6
3,2.109715e6,2.7307094877162318e-6
3,2.116915e6,2.697244910660885e-6
3,2.124115e6,2.6169299257280552e-6
3,2.131315e6,2.7307094877162318e-6
3,2.138515e6,2.6236228411391242e-6
3,2.145715e6,2.6437015873723317e-6
3,2.152915e6,2.1618116777753504e-6
3,2.160115e6,2.811024472649062e-6
3,2.182555e6,2.7820218392010953e-6
3,2.204155e6,2.6905519952498164e-6
3,2.225755e6,2.677166164427678e-6
3,2.315455e6,2.586811806378244e-6
1,359380.0,2.641657977213962e-6
1,380980.0,2.6155889840177714e-6
1,402580.0,2.6199338162171364e-6
1,424180.0,2.6155889840177714e-6
1,445780.0,2.5091405951333275e-6
1,467380.0,2.520002675631741e-6
1,488980.0,2.5634509976253912e-6
1,532180.0,2.556933749326343e-6
1,553780.0,2.548244084927613e-6
1,575380.0,2.5156578434323747e-6
1,596980.0,2.5547613332266613e-6
1,618580.0,2.483071601937137e-6
1,640180.0,2.4895888502361852e-6
1,661780.0,2.50262334683428e-6
1,704980.0,2.461347440940311e-6
1,726580.0,2.470037105339042e-6
1,748180.0,2.4743819375384076e-6
1,769780.0,2.4917612663358667e-6
1,791380.0,2.500450930734598e-6
1,812980.0,2.487416434136502e-6
1,834580.0,2.500450930734598e-6
1,856180.0,2.520002675631741e-6
1,877780.0,2.4917612663358667e-6
1,899380.0,2.5069681790336443e-6
1,920980.0,2.48524401803682e-6
1,942580.0,3.0674515327517394e-6
1,964180.0,2.97403764046539e-6
1,985780.0,2.7524511982977716e-6
1,1.00738e6,2.871934083780311e-6
1,1.05058e6,2.7937271041917396e-6
1,1.07218e6,2.7698305270952315e-6
1,1.09378e6,2.7459339499987243e-6
1,1.11538e6,2.5938648230209465e-6
1,1.13698e6,2.5764854942234857e-6
1,1.15858e6,2.5634509976253912e-6
1,1.18018e6,2.556933749326343e-6
1,1.20178e6,2.561278581525708e-6
1,1.22338e6,2.504795762933963e-6
1,1.24498e6,2.504795762933963e-6
1,1.26658e6,2.5091405951333275e-6
1,1.28818e6,2.5156578434323747e-6
1,1.30978e6,2.2549679114704707e-6
1,1.33138e6,2.504795762933963e-6
1,1.35298e6,2.51131301123301e-6
1,1.37458e6,2.4374508638438038e-6
1,1.39618e6,2.446140528242534e-6
1,1.41778e6,2.461347440940311e-6
1,1.43938e6,2.446140528242534e-6
1,1.46098e6,2.4526577765415814e-6
1,1.48258e6,2.450485360441899e-6
1,1.50418e6,2.4526577765415814e-6
1,1.52578e6,2.4526577765415814e-6
1,1.65538e6,2.161554019184122e-6
1,1.67698e6,2.3353473071587247e-6
1,1.69858e6,2.461347440940311e-6
1,1.72018e6,2.526519923930788e-6
1,1.74178e6,2.5417268366285655e-6
1,1.76338e6,2.4895888502361852e-6
1,1.78498e6,2.520002675631741e-6
1,1.80658e6,2.50262334683428e-6
1,1.82818e6,2.5134854273326924e-6
1,1.84978e6,2.5134854273326924e-6
1,1.87138e6,2.524347507831105e-6
1,1.89298e6,2.32231281056063e-6
1,1.91458e6,2.465692273139677e-6
1,1.93618e6,2.49393368243555e-6
1,1.95778e6,2.4787267697377717e-6
1,1.97938e6,2.49393368243555e-6
1,2.00098e6,2.48524401803682e-6
1,2.02258e6,2.5417268366285655e-6
1,2.04418e6,2.3918301257504712e-6
1,2.06578e6,2.50262334683428e-6
1,2.08768e6,2.5417268366285663e-6
1,2.09488e6,2.47655435363809e-6
1,2.10208e6,2.483071601937137e-6
1,2.10928e6,2.5352095883295186e-6
1,2.11648e6,2.5156578434323747e-6
1,2.12368e6,2.4895888502361852e-6
1,2.13088e6,2.5286923400304705e-6
1,2.13808e6,2.4895888502361852e-6
1,2.14528e6,2.4961060985352325e-6
1,2.15248e6,2.5808303264228516e-6
1,2.15968e6,2.4700371053390413e-6
1,2.18212e6,2.4222439511460257e-6
1,2.20372e6,2.476554353638089e-6
1,2.22532e6,2.487416434136502e-6
1,2.31502e6,2.4700371053390418e-6
